Title,Author,Genre,SubGenre,Height,Publisher,Id,Status
Justice League: Throne of Atlantis,,fiction,comic,258.0,,146.0,
Justice League: The Villain's Journey,,fiction,comic,258.0,,147.0,
"Death of Superman, The",,fiction,comic,258.0,,148.0,
History of the DC Universe,,fiction,comic,258.0,,149.0,
Batman: The Long Halloween,,fiction,comic,258.0,,150.0,
"Life in Letters, A","Steinbeck, John",nonfiction,autobiography,196.0,,151.0,
"Information, The","Gleick, James",science,mathematics,233.0,,152.0,
"Journal of Economics, vol 106 No 3",,science,economics,235.0,,153.0,
Elements of Information Theory,"Thomas, Joy",tech,signal_processing,229.0,,154.0,
Power Electronics - Rashid,"Rashid, Muhammad",tech,computer_science,235.0,,155.0,
Power Electronics - Mohan,"Mohan, Ned",tech,computer_science,237.0,,156.0,
Neural Networks,"Haykin, Simon",tech,data_science,240.0,,157.0,
"Grapes of Wrath, The","Steinbeck, John",fiction,classic,196.0,,158.0,
Vyakti ani Valli,"Deshpande, P L",nonfiction,misc,211.0,,159.0,
Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,228.0,,160.0,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history,180.0,,161.0,
Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,history,180.0,,162.0,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history,180.0,,163.0,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history,180.0,,164.0,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,history,180.0,,165.0,
Mossad,"Baz-Zohar, Michael",nonfiction,history,236.0,,166.0,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history,223.0,,167.0,
20000 Leagues Under the Sea,"Verne, Jules",fiction,novel,190.0,,168.0,
Batatyachi Chal,Deshpande P L,fiction,novel,200.0,,169.0,
Hafasavnuk,Deshpande P L,fiction,novel,211.0,,170.0,
Urlasurla,Deshpande P L,fiction,novel,211.0,,171.0,
Pointers in C,"Kanetkar, Yashwant",tech,computer_science,213.0,,172.0,
"Cathedral and the Bazaar, The","Raymond, Eric",tech,computer_science,217.0,,173.0,
Design with OpAmps,"Franco, Sergio",tech,computer_science,240.0,,174.0,
Think Complexity,"Downey, Allen",tech,data_science,230.0,,175.0,
"Devil's Advocate, The","West, Morris",fiction,novel,178.0,,176.0,
Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism,203.0,,177.0,
Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism,171.0,,178.0,
"World's Great Thinkers, The",,science,physics,189.0,,179.0,
Data Analysis with Open Source Tools,"Janert, Phillip",tech,data_science,230.0,,180.0,
Broca's Brain,"Sagan, Carl",science,physics,174.0,,181.0,
Men of Mathematics,"Bell, E T",science,mathematics,217.0,,182.0,
